text,label
A música foi mal avaliada e recebeu comentários desfavoráveis.,negative
A performance recente foi incrível e emocionou os fãs.,positive
Foi divulgada uma atualização sobre o trabalho do artista.,neutral
Foi divulgada uma atualização sobre o trabalho do artista.,neutral
Foi divulgada uma atualização sobre o trabalho do artista.,neutral
Foi divulgada uma atualização sobre o trabalho do artista.,neutral
Notícia informativa sobre a carreira do artista.,neutral
Comentário neutro sobre um lançamento recente.,neutral
Foi divulgada uma atualização sobre o trabalho do artista.,neutral
O álbum foi muito bem recebido pelo público e pela crítica.,positive
"Gostei muito do novo lançamento do artista, a música é excelente.",positive
Comentário neutro sobre um lançamento recente.,neutral
Notícia informativa sobre a carreira do artista.,neutral
O lançamento mais recente do artista decepcionou bastante.,negative
O artista anunciou um novo projeto sem muitos detalhes.,neutral
Notícia negativa envolvendo o artista gerou muitas críticas.,negative
Comentário neutro sobre um lançamento recente.,neutral
Comentário neutro sobre um lançamento recente.,neutral
Foi divulgada uma atualização sobre o trabalho do artista.,neutral
Notícia informativa sobre a carreira do artista.,neutral
O artista anunciou um novo projeto sem muitos detalhes.,neutral
Comentário neutro sobre um lançamento recente.,neutral
A performance recente foi incrível e emocionou os fãs.,positive
"Gostei muito do novo lançamento do artista, a música é excelente.",positive
O artista anunciou um novo projeto sem muitos detalhes.,neutral
"Gostei muito do novo lançamento do artista, a música é excelente.",positive
Comentário neutro sobre um lançamento recente.,neutral
Notícia informativa sobre a carreira do artista.,neutral
"Gostei muito do novo lançamento do artista, a música é excelente.",positive
O artista anunciou um novo projeto sem muitos detalhes.,neutral
O artista anunciou um novo projeto sem muitos detalhes.,neutral
O lançamento mais recente do artista decepcionou bastante.,negative
O artista anunciou um novo projeto sem muitos detalhes.,neutral
Comentário neutro sobre um lançamento recente.,neutral
Notícia informativa sobre a carreira do artista.,neutral
Foi divulgada uma atualização sobre o trabalho do artista.,neutral
O álbum foi muito bem recebido pelo público e pela crítica.,positive
Notícia informativa sobre a carreira do artista.,neutral
O álbum foi muito bem recebido pelo público e pela crítica.,positive
"Gostei muito do novo lançamento do artista, a música é excelente.",positive
"Notícia positiva sobre a carreira do artista, grande conquista.",positive
Comentário neutro sobre um lançamento recente.,neutral
Notícia informativa sobre a carreira do artista.,neutral
O álbum foi muito bem recebido pelo público e pela crítica.,positive
O álbum foi muito bem recebido pelo público e pela crítica.,positive
O álbum foi muito bem recebido pelo público e pela crítica.,positive
O álbum foi muito bem recebido pelo público e pela crítica.,positive
Comentário neutro sobre um lançamento recente.,neutral
"Gostei muito do novo lançamento do artista, a música é excelente.",positive
O artista anunciou um novo projeto sem muitos detalhes.,neutral
O artista anunciou um novo projeto sem muitos detalhes.,neutral
"Notícia positiva sobre a carreira do artista, grande conquista.",positive
O artista anunciou um novo projeto sem muitos detalhes.,neutral
O artista anunciou um novo projeto sem muitos detalhes.,neutral
A música foi mal avaliada e recebeu comentários desfavoráveis.,negative
Foi divulgada uma atualização sobre o trabalho do artista.,neutral
Comentário neutro sobre um lançamento recente.,neutral
O artista anunciou um novo projeto sem muitos detalhes.,neutral
Foi divulgada uma atualização sobre o trabalho do artista.,neutral
Foi divulgada uma atualização sobre o trabalho do artista.,neutral
Notícia informativa sobre a carreira do artista.,neutral
O artista anunciou um novo projeto sem muitos detalhes.,neutral
